filename,puzzle_correct,patch_matches,time_s
108553_Cassock_primary.jpg,0,4,11.08
128196_Textile_primary.jpg,0,7,4.43
13799_Panel_blue-resist_textile_primary.jpg,0,0,4.44
13801_Panel_blue-resist_textile_primary.jpg,0,3,4.63
157548_Vestment_primary.jpg,0,3,4.55
157562_Textile_fragment_primary.jpg,0,4,4.67
157612_Orphrey_primary.jpg,0,4,4.88
157934_Chasuble_primary.jpg,0,2,5.00
158178_Chasuble_stole_and_maniple_primary.jpg,0,0,4.56
158366_Bed_curtain_border_primary.jpg,0,1,4.52
158367_Bed_curtain_border_primary.jpg,0,2,4.56
158399_Towel_border_primary.jpg,0,0,4.57
173371_Textile_panel_primary.jpg,0,7,4.49
173406_Textile_primary.jpg,0,7,4.39
173413_Textile_primary.jpg,0,5,4.48
174449_Chasuble_primary.jpg,0,1,4.41
174911_Chasuble_primary.jpg,0,1,4.44
175599_Fragment_of_a_shirt_primary.jpg,0,4,4.50
202130_Allegory_of_Water_Neptune_Rescuing_Amymone_primary.jpg,0,5,4.56
202228_Carpet_with_Fame_and_Fortitude_primary.jpg,0,2,4.59
202927_Length_of_roller_printed_cotton_primary.jpg,0,3,4.42
202958_Piece_primary.jpg,0,1,4.42
204484_Diana_and_Actaeon_from_a_set_of_Ovids_Metamorphos_primary.jpg,0,0,4.67
205350_Length_of_furnishing_fabric_primary.jpg,0,1,4.37
206403_Carpet_with_landscapes_primary.jpg,0,5,4.56
207504_Length_of_woven_wool_and_silk_primary.jpg,0,3,4.37
208528_Six_Putti_Dancing_Around_a_Globe_and_a_Palm_from_a_primary.jpg,0,5,4.74
210784_Furnishing_textile_primary.jpg,0,4,4.43
212218_Chandos_primary.jpg,0,5,4.97
212255_Strip_primary.jpg,0,0,4.82
212608_Elijah_and_the_fiery_chariot_primary.jpg,0,4,4.95
212611_The_Virgin_Annunciate_primary.jpg,0,0,5.17
212622_The_Death_of_Cleopatra_from_a_set_of_The_Story_of_primary.jpg,0,2,5.13
212623_The_Colosseum_from_a_set_of_The_Wonders_of_the_Wor_primary.jpg,0,7,5.15
212991_Piece_primary.jpg,0,3,5.02
213063_Piece_primary.jpg,0,1,5.01
213079_Fragment_primary.jpg,0,2,4.80
213122_Piece_primary.jpg,0,7,4.96
213131_Fragment_primary.jpg,0,0,4.76
213136_Damask_primary.jpg,0,3,5.12
213144_Piece_primary.jpg,0,1,5.04
213161_Piece_primary.jpg,0,0,5.07
213183_Piece_primary.jpg,0,3,4.99
213199_Piece_primary.jpg,0,0,5.00
213202_Piece_primary.jpg,0,7,5.00
213209_Piece_primary.jpg,0,3,5.12
213264_Sampler_primary.jpg,0,5,4.83
213439_Piece_primary.jpg,0,2,5.00
214172_Piece_primary.jpg,0,0,4.93
214310_Womans_wedding_mantle_lliclla_with_interlace_an_primary.jpg,0,5,4.84
214318_Silk_textile_with_Seraphim_and_Crosses_primary.jpg,0,7,5.85
214326_Sampler_primary.jpg,0,5,4.90
214341_Piece_primary.jpg,0,4,4.93
215312_Towel_primary.jpg,0,3,4.96
215365_Cap_primary.jpg,0,4,4.77
215452_Band_primary.jpg,0,0,4.80
215460_Band_primary.jpg,0,3,4.82
215464_Fragment_primary.jpg,0,1,4.85
215483_Cap_fragment_primary.jpg,0,1,4.82
215537_Piece_primary.jpg,0,6,4.80
215547_Piece_primary.jpg,0,0,4.77
215569_Peasant_costume_fragment_primary.jpg,0,4,4.93
215574_Peasant_costume_fragment_primary.jpg,0,5,4.93
215583_Peasant_costume_fragment_primary.jpg,0,1,4.95
215608_Peasant_costume_fragment_primary.jpg,0,4,4.88
215659_Fragment_primary.jpg,0,3,5.00
215695_Piece_primary.jpg,0,3,4.95
215707_Piece_one_of_116_primary.jpg,0,1,4.77
215711_Piece_one_of_116_primary.jpg,0,4,4.82
215720_Piece_one_of_116_primary.jpg,0,3,4.78
215748_Piece_one_of_116_primary.jpg,0,4,4.88
215749_Piece_one_of_116_primary.jpg,0,2,4.77
215758_Piece_one_of_116_primary.jpg,0,5,4.86
215797_Piece_one_of_116_primary.jpg,0,5,4.82
215806_Piece_one_of_116_primary.jpg,1,9,4.81
215825_Piece_one_of_13_primary.jpg,0,2,4.80
215830_Piece_one_of_13_primary.jpg,0,5,4.82
215841_Piece_primary.jpg,0,7,4.95
215861_Piece_primary.jpg,0,0,4.86
215867_Piece_primary.jpg,0,2,4.77
215871_Piece_primary.jpg,0,4,4.80
215877_Piece_primary.jpg,0,5,4.81
215887_Piece_primary.jpg,0,4,4.81
215902_Piece_primary.jpg,0,1,4.84
215913_Piece_primary.jpg,0,4,4.90
215919_Piece_primary.jpg,0,2,4.79
215932_Piece_primary.jpg,1,9,4.82
215937_Pieces_4_primary.jpg,0,2,4.80
215956_Piece_primary.jpg,0,1,4.80
215961_Piece_primary.jpg,0,5,4.79
215967_Piece_primary.jpg,0,4,4.80
215988_Piece_primary.jpg,0,1,4.91
216004_Piece_primary.jpg,0,7,4.78
216014_Piece_primary.jpg,0,0,4.78
216017_Piece_primary.jpg,0,2,4.78
216018_Piece_primary.jpg,0,4,4.81
216024_Piece_primary.jpg,0,1,4.76
216042_Piece_primary.jpg,0,3,4.76
216044_Piece_primary.jpg,1,9,4.89
216046_Piece_primary.jpg,0,1,4.75
216064_Piece_primary.jpg,0,7,4.84
216068_Piece_primary.jpg,0,4,4.78
216091_Piece_primary.jpg,0,4,4.79
216096_Piece_primary.jpg,0,2,4.82
216103_Piece_primary.jpg,0,4,4.90
216106_Piece_primary.jpg,0,6,4.86
216120_Piece_primary.jpg,0,1,4.82
216156_Piece_primary.jpg,0,2,4.80
216174_Piece_primary.jpg,0,5,4.82
216185_Piece_primary.jpg,0,4,4.82
216197_Piece_primary.jpg,0,2,4.95
216206_Piece_primary.jpg,0,2,4.98
216218_Piece_primary.jpg,0,2,4.83
216226_Piece_primary.jpg,0,3,4.99
216248_Piece_primary.jpg,0,0,4.84
216260_Piece_primary.jpg,0,2,4.94
216270_Piece_primary.jpg,0,6,5.04
216279_Pieces_4_primary.jpg,0,7,4.52
216288_Piece_primary.jpg,0,4,4.69
216290_Piece_primary.jpg,0,0,4.36
216296_Dress_border_primary.jpg,0,3,4.65
216319_Cap_primary.jpg,0,6,4.39
216323_Fragment_primary.jpg,0,5,4.41
216387_Chalice_Veil_primary.jpg,1,9,4.34
216404_Fragment_primary.jpg,0,4,4.51
216406_Piece_primary.jpg,0,3,4.44
