filename,puzzle_correct,patch_matches,time_s
img_002_(a)_img_002.png,0,1,12.39
img_002_(b)_img_002.png,0,1,4.93
img_002_(c)_img_002.png,0,5,4.98
img_002_(d)_img_002.png,0,0,4.79
img_002_(e)_img_002.png,0,3,3.75
img_002_(f)_img_002.png,0,4,3.67
img_002_(g)_img_002.png,0,1,3.77
img_002_(h)_img_002.png,0,0,3.78
img_002_(i)_img_002.png,0,3,3.87
img_002_(j)_img_002.png,1,9,3.86
img_002_(k)_img_002.png,0,4,3.68
img_002_(l)_img_002.png,0,4,3.73
img_002_(m)_img_002.png,0,0,3.68
img_002_(n)_img_002.png,0,2,3.69
img_002_(o)_img_002.png,1,9,3.68
img_003_(a)_img_003.png,0,2,3.92
img_003_(b)_img_003.png,0,0,3.83
img_003_(c)_img_003.png,0,4,4.22
img_003_(d)_img_003.png,0,3,3.76
img_003_(e)_img_003.png,0,1,3.79
img_003_(f)_img_003.png,0,7,4.01
img_003_(g)_img_003.png,0,3,3.74
img_003_(h)_img_003.png,0,1,3.75
img_003_(i)_img_003.png,0,0,3.78
img_003_(j)_img_003.png,0,0,4.22
img_003_(k)_img_003.png,0,0,4.27
img_003_(l)_img_003.png,1,9,3.94
img_003_(m)_img_003.png,0,0,3.74
img_003_(n)_img_003.png,0,0,3.76
img_004_1_(a)_img_004_1.png,0,5,3.80
img_004_1_(b)_img_004_1.png,0,4,4.07
img_004_1_(c)_img_004_1.png,0,5,4.16
img_004_1_(d)_img_004_1.png,0,5,4.16
img_004_1_(e)_img_004_1.png,0,0,3.71
img_004_1_(f)_img_004_1.png,0,4,3.78
img_004_1_(g)_img_004_1.png,1,9,3.75
img_004_1_(h)_img_004_1.png,0,1,3.76
img_004_1_(i)_img_004_1.png,1,9,3.83
img_004_2_(a)_img_004_2.png,0,3,3.78
img_004_2_(b)_img_004_2.png,0,1,3.72
img_004_2_(c)_img_004_2.png,0,7,4.07
img_004_2_(d)_img_004_2.png,0,4,3.81
img_004_2_(e)_img_004_2.png,0,1,3.72
img_004_2_(f)_img_004_2.png,1,9,3.70
img_004_2_(g)_img_004_2.png,0,4,3.73
img_004_2_(h)_img_004_2.png,0,0,3.79
img_004_2_(i)_img_004_2.png,0,1,3.75
img_004_3_(a)_img_004_3.png,1,9,3.73
img_004_3_(b)_img_004_3.png,1,9,3.67
img_004_3_(c)_img_004_3.png,0,2,3.76
img_004_3_(d)_img_004_3.png,0,1,3.87
img_005_(a)_img_005.png,0,0,3.68
img_005_(b)_img_005.png,1,9,3.85
img_013_(a)_img_013.png,1,9,3.87
img_013_(b)_img_013.png,0,5,3.89
img_013_(c)_img_013.png,0,6,3.95
img_013_(d)_img_013.png,0,3,3.84
img_013_(e)_img_013.png,0,1,3.90
img_013_(f)_img_013.png,0,4,3.88
img_013_(g)_img_013.png,0,3,3.87
img_053_(a)_img_053.png,0,6,3.93
img_053_(b)_img_053.png,0,0,3.93
img_053_(c)_img_053.png,0,5,3.82
img_053_(d)_img_053.png,0,1,4.77
img_055_1_(a)_img_055_1.png,0,4,4.79
img_055_1_(b)_img_055_1.png,0,0,4.78
img_055_1_(c)_img_055_1.png,0,3,3.79
img_055_1_(d)_img_055_1.png,0,7,4.80
img_055_1_(e)_img_055_1.png,0,1,4.90
img_055_1_(f)_img_055_1.png,0,7,4.87
img_055_1_(g)_img_055_1.png,0,1,4.83
img_055_1_(h)_img_055_1.png,0,2,4.89
img_055_1_(i)_img_055_1.png,0,7,3.82
img_055_1_(j)_img_055_1.png,0,2,3.80
img_055_1_(k)_img_055_1.png,0,4,3.72
img_056_(a)_img_056.png,0,1,3.87
img_056_(b)_img_056.png,0,1,4.01
img_056_(c)_img_056.png,0,0,3.75
img_056_(d)_img_056.png,0,5,3.87
img_056_(e)_img_056.png,0,2,3.78
img_067_(a)_img_067.png,0,2,3.74
img_067_(b)_img_067.png,0,0,3.72
img_067_(c)_img_067.png,0,4,3.71
img_067_(d)_img_067.png,0,3,3.72
img_067_(e)_img_067.png,1,9,3.68
img_067_(f)_img_067.png,0,2,3.73
img_067_(g)_img_067.png,0,3,3.89
img_067_(h)_img_067.png,0,0,3.99
img_067_(i)_img_067.png,0,0,3.82
img_067_(j)_img_067.png,0,1,3.86
img_067_(k)_img_067.png,0,0,3.72
img_067_(l)_img_067.png,0,2,3.78
img_067_(m)_img_067.png,0,1,3.85
img_067_(n)_img_067.png,0,5,3.72
img_068_(a)_img_068.png,1,9,3.74
img_068_(b)_img_068.png,0,5,3.70
img_068_(c)_img_068.png,0,1,3.69
img_068_(d)_img_068.png,0,1,3.70
img_068_(e)_img_068.png,0,2,3.72
img_068_(f)_img_068.png,0,5,3.77
img_068_(g)_img_068.png,0,7,3.72
img_068_(h)_img_068.png,0,0,3.77
img_068_(i)_img_068.png,0,3,4.02
img_071_(a)_img_071.png,1,9,3.87
img_071_(b)_img_071.png,1,9,3.73
img_071_(c)_img_071.png,0,0,3.87
img_071_(d)_img_071.png,0,0,3.92
img_071_(e)_img_071.png,0,5,3.91
img_071_(f)_img_071.png,0,0,3.80
img_071_(g)_img_071.png,0,1,3.70
img_071_(h)_img_071.png,0,2,3.78
img_071_(i)_img_071.png,0,2,3.71
img_071_(j)_img_071.png,0,4,3.76
img_071_(k)_img_071.png,0,6,3.68
img_071_(l)_img_071.png,0,2,3.75
img_071_(m)_img_071.png,0,0,3.80
img_071_(n)_img_071.png,0,1,3.75
img_071_(o)_img_071.png,0,4,3.74
img_071_(p)_img_071.png,0,3,3.75
img_071_(q)_img_071.png,0,1,3.69
img_071_(r)_img_071.png,1,9,3.73
img_073_(a)_img_073.png,0,3,3.68
img_073_(b)_img_073.png,0,0,3.67
img_073_(c)_img_073.png,0,2,3.74
img_073_(d)_img_073.png,0,0,3.88
img_073_(e)_img_073.png,0,7,4.11
img_073_(f)_img_073.png,0,2,3.85
img_073_(g)_img_073.png,0,0,3.85
img_073_(h)_img_073.png,0,2,3.81
img_073_(i)_img_073.png,0,3,3.83
