filename,puzzle_correct,patch_matches,time_s
ILSVRC2012_test_00000001.JPEG,0,5,1.88
ILSVRC2012_test_00000004.JPEG,1,9,1.50
ILSVRC2012_test_00000003.JPEG,1,9,1.53
ILSVRC2012_test_00000002.JPEG,1,9,1.56
ILSVRC2012_test_00000005.JPEG,1,9,1.30
ILSVRC2012_test_00000008.JPEG,0,3,1.23
ILSVRC2012_test_00000007.JPEG,1,9,1.26
ILSVRC2012_test_00000006.JPEG,0,1,1.28
ILSVRC2012_test_00000009.JPEG,1,9,1.27
ILSVRC2012_test_00000012.JPEG,1,9,1.23
ILSVRC2012_test_00000011.JPEG,1,9,1.25
ILSVRC2012_test_00000010.JPEG,1,9,1.29
ILSVRC2012_test_00000013.JPEG,1,9,1.29
ILSVRC2012_test_00000016.JPEG,0,4,1.23
ILSVRC2012_test_00000015.JPEG,1,9,1.24
ILSVRC2012_test_00000014.JPEG,1,9,1.30
ILSVRC2012_test_00000017.JPEG,1,9,1.29
ILSVRC2012_test_00000020.JPEG,1,9,1.23
ILSVRC2012_test_00000019.JPEG,1,9,1.26
ILSVRC2012_test_00000018.JPEG,0,2,1.28
ILSVRC2012_test_00000024.JPEG,1,9,1.22
ILSVRC2012_test_00000021.JPEG,1,9,1.29
ILSVRC2012_test_00000023.JPEG,1,9,1.27
ILSVRC2012_test_00000022.JPEG,1,9,1.28
ILSVRC2012_test_00000028.JPEG,0,1,1.23
ILSVRC2012_test_00000025.JPEG,0,6,1.27
ILSVRC2012_test_00000027.JPEG,1,9,1.26
ILSVRC2012_test_00000026.JPEG,1,9,1.29
ILSVRC2012_test_00000032.JPEG,0,4,1.22
ILSVRC2012_test_00000029.JPEG,0,2,1.27
ILSVRC2012_test_00000031.JPEG,0,0,1.27
ILSVRC2012_test_00000030.JPEG,1,9,1.29
ILSVRC2012_test_00000036.JPEG,1,9,1.22
ILSVRC2012_test_00000033.JPEG,1,9,1.29
ILSVRC2012_test_00000035.JPEG,1,9,1.33
ILSVRC2012_test_00000034.JPEG,0,2,1.28
ILSVRC2012_test_00000040.JPEG,1,9,1.23
ILSVRC2012_test_00000037.JPEG,1,9,1.28
ILSVRC2012_test_00000039.JPEG,0,0,1.26
ILSVRC2012_test_00000038.JPEG,1,9,1.29
ILSVRC2012_test_00000044.JPEG,1,9,1.24
ILSVRC2012_test_00000041.JPEG,1,9,1.27
ILSVRC2012_test_00000043.JPEG,1,9,1.26
ILSVRC2012_test_00000042.JPEG,0,6,1.26
ILSVRC2012_test_00000048.JPEG,1,9,1.23
ILSVRC2012_test_00000045.JPEG,1,9,1.29
ILSVRC2012_test_00000047.JPEG,1,9,1.26
ILSVRC2012_test_00000046.JPEG,1,9,1.29
ILSVRC2012_test_00000052.JPEG,1,9,1.23
ILSVRC2012_test_00000049.JPEG,1,9,1.28
ILSVRC2012_test_00000051.JPEG,1,9,1.25
ILSVRC2012_test_00000050.JPEG,1,9,1.29
ILSVRC2012_test_00000056.JPEG,0,2,1.24
ILSVRC2012_test_00000053.JPEG,0,2,1.27
ILSVRC2012_test_00000055.JPEG,0,7,1.26
ILSVRC2012_test_00000054.JPEG,0,2,1.30
ILSVRC2012_test_00000060.JPEG,0,1,1.23
ILSVRC2012_test_00000057.JPEG,1,9,1.28
ILSVRC2012_test_00000059.JPEG,0,0,1.26
ILSVRC2012_test_00000058.JPEG,1,9,1.29
ILSVRC2012_test_00000064.JPEG,1,9,1.23
ILSVRC2012_test_00000061.JPEG,1,9,1.27
ILSVRC2012_test_00000063.JPEG,1,9,1.26
ILSVRC2012_test_00000062.JPEG,1,9,1.28
ILSVRC2012_test_00000068.JPEG,0,3,1.22
ILSVRC2012_test_00000065.JPEG,1,9,1.28
ILSVRC2012_test_00000067.JPEG,1,9,1.25
ILSVRC2012_test_00000066.JPEG,0,2,1.28
ILSVRC2012_test_00000072.JPEG,1,9,1.23
ILSVRC2012_test_00000071.JPEG,1,9,1.26
ILSVRC2012_test_00000069.JPEG,1,9,1.28
ILSVRC2012_test_00000070.JPEG,0,5,1.30
ILSVRC2012_test_00000076.JPEG,0,5,1.24
ILSVRC2012_test_00000075.JPEG,0,3,1.26
ILSVRC2012_test_00000073.JPEG,0,6,1.26
ILSVRC2012_test_00000074.JPEG,0,0,1.29
ILSVRC2012_test_00000080.JPEG,0,6,1.23
ILSVRC2012_test_00000079.JPEG,1,9,1.26
ILSVRC2012_test_00000077.JPEG,1,9,1.27
ILSVRC2012_test_00000078.JPEG,1,9,1.29
ILSVRC2012_test_00000084.JPEG,0,3,1.24
ILSVRC2012_test_00000083.JPEG,0,3,1.26
ILSVRC2012_test_00000081.JPEG,0,3,1.28
ILSVRC2012_test_00000082.JPEG,0,0,1.29
ILSVRC2012_test_00000088.JPEG,0,3,1.23
ILSVRC2012_test_00000087.JPEG,1,9,1.26
ILSVRC2012_test_00000085.JPEG,1,9,1.28
ILSVRC2012_test_00000092.JPEG,1,9,1.23
ILSVRC2012_test_00000086.JPEG,1,9,1.28
ILSVRC2012_test_00000091.JPEG,1,9,1.26
ILSVRC2012_test_00000089.JPEG,1,9,1.27
ILSVRC2012_test_00000096.JPEG,1,9,1.24
ILSVRC2012_test_00000090.JPEG,1,9,1.28
ILSVRC2012_test_00000095.JPEG,1,9,1.27
ILSVRC2012_test_00000093.JPEG,1,9,1.28
ILSVRC2012_test_00000100.JPEG,0,0,1.22
ILSVRC2012_test_00000094.JPEG,0,5,1.28
ILSVRC2012_test_00000099.JPEG,1,9,1.26
ILSVRC2012_test_00000097.JPEG,1,9,1.27
ILSVRC2012_test_00000104.JPEG,1,9,1.23
ILSVRC2012_test_00000098.JPEG,1,9,1.29
ILSVRC2012_test_00000103.JPEG,1,9,1.27
ILSVRC2012_test_00000101.JPEG,1,9,1.29
ILSVRC2012_test_00000108.JPEG,1,9,1.23
ILSVRC2012_test_00000102.JPEG,0,1,1.27
ILSVRC2012_test_00000107.JPEG,0,3,1.25
ILSVRC2012_test_00000105.JPEG,1,9,1.28
ILSVRC2012_test_00000112.JPEG,1,9,1.23
ILSVRC2012_test_00000106.JPEG,0,4,1.27
ILSVRC2012_test_00000111.JPEG,0,3,1.28
ILSVRC2012_test_00000109.JPEG,1,9,1.28
ILSVRC2012_test_00000116.JPEG,1,9,1.22
ILSVRC2012_test_00000110.JPEG,1,9,1.29
ILSVRC2012_test_00000115.JPEG,0,0,1.26
ILSVRC2012_test_00000113.JPEG,0,4,1.29
ILSVRC2012_test_00000120.JPEG,0,0,1.24
ILSVRC2012_test_00000114.JPEG,1,9,1.28
ILSVRC2012_test_00000119.JPEG,1,9,1.27
